start,end,avg,max,min
2018-01-13 00:00,2018-01-13 05:06,5454.178571,30437,0
2018-02-04 13:44,2018-02-04 22:22,11054.521739,32739,0
2018-02-07 12:48,2018-02-07 18:02,12474.209677,32190,0
2018-03-20 03:26,2018-03-20 12:42,13825.211765,34473,32
2018-03-20 13:28,2018-03-20 14:04,13825.211765,34473,32
2018-04-15 19:54,2018-04-15 23:58,8645.375000,33841,0
2018-04-16 00:02,2018-04-16 09:08,15812.214286,51243,170
2018-09-28 00:12,2018-09-28 05:32,18994.441667,28695,0
2018-10-11 11:58,2018-10-11 23:58,17779.128713,54948,1051
2018-10-12 00:00,2018-10-12 03:22,7369.500000,41743,0
2018-10-26 09:40,2018-10-26 11:00,15142.446154,39339,0
2018-11-02 18:10,2018-11-02 23:06,9283.358491,20356,15
2018-11-05 06:32,2018-11-05 12:42,11623.870968,30528,0
2018-11-12 18:20,2018-11-12 23:58,14099.934783,54623,0
2018-11-13 00:00,2018-11-13 04:24,10924.300000,43425,3
2018-11-13 06:40,2018-11-13 07:20,10924.300000,43425,3
2018-11-15 07:50,2018-11-15 17:38,16083.470588,54677,55
2018-11-24 12:58,2018-11-24 22:06,12303.709677,38811,0
2018-12-09 11:30,2018-12-09 23:58,14956.790698,43146,0
2018-12-20 18:00,2018-12-20 23:58,6796.678571,36263,0
2018-12-21 00:00,2018-12-21 02:44,11940.725806,34946,1223
2018-12-21 05:00,2018-12-21 05:06,11940.725806,34946,1223
2018-12-21 10:54,2018-12-21 14:10,11940.725806,34946,1223
2018-12-28 06:14,2018-12-28 21:26,15382.149254,31900,0
2018-12-28 23:00,2018-12-28 23:08,15382.149254,31900,0
